AttributeName	ParameterName	ParameterValue
Any Hazmat Prohibited	Restriction Usage	PROHIBITED
Avoid Carpool Roads	Restriction Usage	AVOID_HIGH
Avoid Express Lanes	Restriction Usage	AVOID_HIGH
Avoid Ferries	Restriction Usage	AVOID_MEDIUM
Avoid Gates	Restriction Usage	AVOID_MEDIUM
Avoid Limited Access Roads	Restriction Usage	AVOID_MEDIUM
Avoid Private Roads	Restriction Usage	AVOID_MEDIUM
Avoid Toll Roads	Restriction Usage	AVOID_MEDIUM
Axle Count Restriction	Number of Axles	0
Axle Count Restriction	Restriction Usage	PROHIBITED
Driving a Bus	Restriction Usage	PROHIBITED
Driving a Delivery Vehicle	Restriction Usage	PROHIBITED
Driving a Taxi	Restriction Usage	PROHIBITED
Driving a Truck	Restriction Usage	PROHIBITED
Driving an Automobile	Restriction Usage	PROHIBITED
Driving an Emergency Vehicle	Restriction Usage	PROHIBITED
Height Restriction	Restriction Usage	PROHIBITED
Height Restriction	Vehicle Height (meters)	PROHIBITED
Kingpin to Rear Axle Length Restriction	Restriction Usage	PROHIBITED
Kingpin to Rear Axle Length Restriction	Vehicle Kingpin to Rear Axle Length (meters)	0
Length Restriction	Restriction Usage	PROHIBITED
Length Restriction	Vehicle Length (meters)	0
Riding a Motorcycle	Restriction Usage	PROHIBITED
Roads Under Construction Prohibited	Restriction Usage	PROHIBITED
Semi or Tractor with One or More Trailers Prohibited	Restriction Usage	PROHIBITED
Single Axle Vehicles Prohibited	Restriction Usage	PROHIBITED
Tandem Axle Vehicles Prohibited	Restriction Usage	PROHIBITED
Through Traffic Prohibited	Restriction Usage	AVOID_HIGH
Truck with Trailers Restriction	Restriction Usage	PROHIBITED
Truck with Trailers Restriction	Number of Trailers on Truck	0
Use Preferred Hazmat Routes	Restriction Usage	PREFER_MEDIUM
Use Preferred Truck Routes	Restriction Usage	PREFER_MEDIUM
Walking	Restriction Usage	PROHIBITED
Weight Restriction	Restriction Usage	PROHIBITED
Weight Restriction	Vehicle Weight (kilograms)	0
Weight per Axle Restriction	Restriction Usage	PROHIBITED
Weight per Axle Restriction	Vehicle Weight per Axle (kilograms)	0
Width Restriction	Restriction Usage	PROHIBITED
Width Restriction	Vehicle Width (meters)	0
