Restriction Name	Restriction Parameter Name	Restriction Parameter Default Value
Any Hazmat Prohibited	Restriction Usage	Prohibited
Avoid Carpool Roads	Restriction Usage	Avoid_High
Avoid Express Lanes	Restriction Usage	Avoid_High
Avoid Ferries	Restriction Usage	Avoid_Medium
Avoid Gates	Restriction Usage	Avoid_Medium
Avoid Limited Access Roads	Restriction Usage	Avoid_Medium
Avoid Private Roads	Restriction Usage	Avoid_Medium
Avoid Toll Roads	Restriction Usage	Avoid_Medium
Axle Count Restriction	Number of Axles	0
Axle Count Restriction	Restriction Usage	Prohibited
Driving a Bus	Restriction Usage	Prohibited
Driving a Delivery Vehicle	Restriction Usage	Prohibited
Driving a Taxi	Restriction Usage	Prohibited
Driving a Truck	Restriction Usage	Prohibited
Driving an Automobile	Restriction Usage	Prohibited
Driving an Emergency Vehicle	Restriction Usage	Prohibited
Height Restriction	Restriction Usage	Prohibited
Height Restriction	Vehicle Height (meters)	0
Kingpin to Rear Axle Length Restriction	Restriction Usage	Prohibited
Kingpin to Rear Axle Length Restriction	Vehicle Kingpin to Rear Axle Length (meters)	0
Length Restriction	Restriction Usage	Prohibited
Length Restriction	Vehicle Length (meters)	0
Riding a Motorcycle	Restriction Usage	Prohibited
Roads Under Construction Prohibited	Restriction Usage	Prohibited
Semi or Tractor with One or More Trailers Prohibited	Restriction Usage	Prohibited
Single Axle Vehicles Prohibited	Restriction Usage	Prohibited
Tandem Axle Vehicles Prohibited	Restriction Usage	Prohibited
Through Traffic Prohibited	Restriction Usage	Avoid_High
Truck with Trailers Restriction	Restriction Usage	Prohibited
Truck with Trailers Restriction	Number of Trailers on Truck	0
Use Preferred Hazmat Routes	Restriction Usage	Prefer_Medium
Use Preferred Truck Routes	Restriction Usage	Prefer_Medium
Walking	Restriction Usage	Prohibited
Weight Restriction	Restriction Usage	Prohibited
Weight Restriction	Vehicle Weight (kilograms)	0
Weight per Axle Restriction	Restriction Usage	Prohibited
Weight per Axle Restriction	Vehicle Weight per Axle (kilograms)	0
Width Restriction	Restriction Usage	Prohibited
Width Restriction	Vehicle Width (meters)	0
